"URL","Cena","Cena za m²","Adres","Powierzchnia (m²)","Liczba pokoi","Ogrzewanie","Rynek","Typ ogłoszeniodawcy","Rodzaj zabudowy","Rok budowy","Okna","Materiał budynku"
"https://www.otodom.pl/pl/oferta/przestronny-dom-z-potencjalem-inwestycyjnym-ID4uRqC","2 150 000 zł","10 238 zł/m²","ul. Jana Henryka Dąbrowskiego, Wola, Jeżyce, Poznań, wielkopolskie","210m²","6 pokoi","gazowe","wtórny","biuro nieruchomości","bliźniak","2013","plastikowe","silikat"
"https://www.otodom.pl/pl/oferta/dom-w-dzielnicy-wawer-ID4tPDt","1 550 000 zł","6 739 zł/m²","ul. Ogórkowa, Nadwiśle, Wawer, Warszawa, mazowieckie","230m²","6 pokoi","brak informacji","wtórny","biuro nieruchomości","wolnostojący","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/sprzedam-dom-kiekrz-rogierowko-wysoki-standard-ID4sVAs","770 000 zł","7 778 zł/m²","Rokietnica, Rokietnica, poznański, wielkopolskie","99m²","4 pokoje","pompa ciepła","pierwotny","prywatny","bliźniak","2024","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/jangrot-dom-212-m2-na-duzej-widokowej-dzialce-ID4weXN","790 000 zł","3 435 zł/m²","Długa, Jangrot, Trzyciąż, olkuski, małopolskie","230m²","6 pokoi","brak informacji","wtórny","biuro nieruchomości","brak informacji","1990","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/zacisze-lipowa-dom-4-pok-a2-ID4weAZ","Brak danych","Brak danych","Dworska, Lipowa, Lipowa, żywiecki, śląskie","78.69m²","4 pokoje","brak informacji","pierwotny","deweloper","bliźniak","2025","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-jednorodzinny-kuzniczka-pietrowy-ogrod-taras-ID4rq7m","450 000 zł","2 368 zł/m²","Kuźniczka, Kędzierzyn-Koźle, kędzierzyńsko-kozielski, opolskie","190m²","6 pokoi","węglowe
gazowe","wtórny","prywatny","wolnostojący","1980","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/blizniaki-blisko-rzeszowa-spokojna-okolica-ID4weP6","745 000 zł","5 478 zł/m²","Boguchwała, Boguchwała, rzeszowski, podkarpackie","136m²","5 pokoi","brak informacji","pierwotny","biuro nieruchomości","bliźniak","2025","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-wolnostojacy-z-duzym-ogrodem-konikowo-ID4werA","990 000 zł","5 667 zł/m²","Konikowo, Świeszyno, koszaliński, zachodniopomorskie","174.7m²","4 pokoje","brak informacji","wtórny","biuro nieruchomości","wolnostojący","2001","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-gotowy-do-zamieszkania-ID4qVY5","1 026 000 zł","7 271 zł/m²","Łysokanie, Kłaj, wielicki, małopolskie","141.11m²","5 pokoi","gazowe","wtórny","prywatny","wolnostojący","2024","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/dom-z-garazem-duza-dzialka-zielona-okolica-ID4sLpy","609 200 zł","5 763 zł/m²","ul. Rolnicza, Jastrzębie-Zdrój, śląskie","105.7m²","4 pokoje","brak informacji","pierwotny","prywatny","wolnostojący","2024","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/luksusowy-dom-w-kiezlinach-z-antresola-ul-niemena-ID4uotK","2 600 000 zł","10 880 zł/m²","Kieźliny, Dywity, olsztyński, warmińsko-mazurskie","238.96m²","9 pokoi","pompa ciepła","wtórny","biuro nieruchomości","wolnostojący","2024","aluminiowe","beton komórkowy"
"https://www.otodom.pl/pl/oferta/dom-75-28-m-miedzyrzec-podlaski-ID4weFU","182 700 zł","2 427 zł/m²","Międzyrzec Podlaski, bialski, lubelskie","75.28m²","3 pokoje","brak informacji","wtórny","biuro nieruchomości","brak informacji","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-ogrodem-i-poddaszem-ID4w0wn","559 000 zł","5 584 zł/m²","ul. Do Strumyka, Tokary, Przodkowo, kartuski, pomorskie","100.1m²","5 pokoi","gazowe","pierwotny","deweloper","bliźniak","2024","plastikowe","silikat"
"https://www.otodom.pl/pl/oferta/ergonomiczny-i-szczepankowo-i-pod-klucz-i-bez-pcc-ID4tEvz","1 549 000 zł","10 466 zł/m²","Selerowa 8, Szczepankowo, Nowe Miasto, Poznań, wielkopolskie","148m²","5 pokoi","gazowe","wtórny","prywatny","bliźniak","2024","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/nowoczesny-i-ekologiczny-dom-ID4eYUd","1 149 000 zł","7 365 zł/m²","Przytulna, Ożarów Mazowiecki, Ożarów Mazowiecki, warszawski zachodni, mazowieckie","156m²","5 pokoi","elektryczne
kominkowe
pompa ciepła","pierwotny","prywatny","bliźniak","2024","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/dom-nad-morzem-wladyslawowo-ID4rYHc","999 000 zł","3 083 zł/m²","ul. Mikołaja Reja, Władysławowo, Władysławowo, pucki, pomorskie","324m²","6 pokoi","kominkowe
gazowe","wtórny","prywatny","szeregowiec","2000","plastikowe","pustak"
